Price;Location;Spare;Length;Width;Direction;Amenities
950 triệu; Quốc lộ 1A, Xã Bình An, Huyện Thăng Bình, Quảng Nam; 100 m²; 20 m; 5 m; Đ.Nam;1
689.99 triệu; Đường ĐT 354, Xã Mỹ Đức, Huyện An Lão, TP. Hải Phòng; 70 m²; 12 m; 6 m; Đ.Nam;1
1.2 tỷ; QL1A Thị trấn Hà Lam, Huyện Thăng Bình, Quảng Nam; 120 m²; 20 m; 6 m; Đ.Nam;1
1.2 tỷ; Đường 55, Xã Lộc Nam, Huyện Bảo Lâm, Lâm Đồng; 120 m²; 20 m; 5.98 m; --;1
689 triệu; Xã Phước Thạnh, Huyện Gò Dầu, Tây Ninh; 150 m²; --; --; --;1
539 triệu; Đường 14, Phường Chánh Phú Hòa, Thị xã Bến Cát, Bình Dương; 70 m²; 14 m; 5 m; --;1
600 triệu; Xã Phan, Huyện Dương Minh Châu, Tây Ninh; 140 m²; --; --; --;0
390 triệu; Xã Phước Vinh, Huyện Châu Thành, Tây Ninh; 136 m²; 17 m; 8 m; --;0
2.79 tỷ; Phường Tân Bình, TP. Dĩ An, Bình Dương; 82 m²; --; --; --;0
1.39 tỷ; Phường Uyên Hưng, Thị xã Tân Uyên, Bình Dương; 65 m²; --; --; --;1
1.6 tỷ; Xã Hội Nghĩa, Thị xã Tân Uyên, Bình Dương; 72 m²; --; --; --;1
890 triệu; Phường Thới Hòa, Thị xã Bến Cát, Bình Dương; 100 m²; 20 m; 5 m; --;0
1.02 tỷ; Phường Tân Định, Thị xã Bến Cát, Bình Dương; 100 m²; 20 m; 5 m; --;0
830 triệu; Phường Thới Hòa, Thị xã Bến Cát, Bình Dương; 100 m²; 20 m; 5 m; --;0
900 triệu; Phường Thới Hòa, Thị xã Bến Cát, Bình Dương; 100 m²; 20 m; 5 m; --;0
940 triệu; Đường 13, Phường Tân Định, Thị xã Bến Cát, Bình Dương; 100 m²; 20 m; 5 m; --;0
640 triệu; QL50, Xã Mỹ Lệ, Huyện Cần Đước, Long An; 104 m²; --; --; --;1
900 triệu; Xã Ninh Phú, Thị xã Ninh Hòa, Khánh Hòa; 69 m²; 14 m; 5 m; Bắc;0
1.5 tỷ; Thị trấn Lộc Thắng, Huyện Bảo Lâm, Lâm Đồng; 500 m²; 10 m; 50 m; --;1
1.36 tỷ; Đường Trần Hưng Đạo, Phường Tiến Thành, TP. Đồng Xoài, Bình Phước; 150 m²; 25 m; 6 m; --;1
360 triệu; PHAN THÚC DUYỆN , Phường Vĩnh Điện, Thị xã Điện Bàn, Quảng Nam; 150 m²; 30 m; 5 m; --;1
840 triệu; Phan Chu Trinh, Thị trấn Đông Phú, Huyện Quế Sơn, Quảng Nam; 120 m²; 20 m; 6 m; Đ.Bắc;1
5.67 tỷ; Hạ Lôi, Xã Mê Linh, Huyện Mê Linh, TP. Hà Nội; 70 m²; 10 m; 7 m; --;0
900 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; 22 m; 6 m; Đ.Nam;1
900 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 138 m²; --; --; --;0
500 triệu; Đồng Văn Dẫn, Thị trấn Thạnh Phú, Huyện Thạnh Phú, Bến Tre; 107 m²; 22 m; 5 m; --;1
4.9 tỷ; Đường Lý Sơn, Phường Ngọc Thụy, Quận Long Biên, TP Hà Nội; 70 m²; 18 m; 4 m; --;0
480 triệu; Xã Bến Củi, Huyện Dương Minh Châu, Tây Ninh; 140 m²; 28 m; 5 m; --;0
6 tỷ; Đường Nguyễn Mậu Tài, Thị trấn Trâu Quỳ, Huyện Gia Lâm, TP. Hà Nội; 60 m²; --; --; --;0
900 triệu; Đường ĐT 316 Hưng Hóa, Tam Nông, Phú Thọ; 80 m²; 16 m; 5 m; --;0
480 triệu; Đường Nguyễn Văn Cừ, Xã Lộc Phú, Huyện Bảo Lâm, Lâm Đồng; 130 m²; 30 m; 7 m; --;1
580 triệu; Xã Thạnh Đức, Huyện Gò Dầu, Tây Ninh; 125 m²; 25 m; 5 m; --;0
949 triệu; Đường Âu Cơ, Phường 1, TP Bảo Lộc, Lâm Đồng; 190 m²; 38 m; 5 m; --;0
1.58 tỷ; Đường Võ Nguyên Giáp Mai Đình, Sóc Sơn, Hà Nội; 60 m²; 13.5 m; 4.5 m; --;0
1.36 tỷ; Phường Thủy Vân, TP. Huế, Thừa Thiên Huế; 150 m²; 17 m; 8 m; Tây;0
1.35 tỷ; Phường Hoà Nghĩa, Quận Dương Kinh, TP. Hải Phòng; 40 m²; --; --; --;0
280 triệu; TL623B, Xã Nghĩa Lâm, Huyện Tư Nghĩa, Quảng Ngãi; 130 m²; 20 m; 5 m; Bắc;1
1.45 tỷ; Đường Long Tân-Láng Dài, Xã Phước Long Thọ, Huyện Đất Đỏ, Bà Rịa Vũng Tàu; 1,012 m²; 40 m; 26 m; --;0
990 triệu; Xã Lộc Tân, Huyện Bảo Lâm, Lâm Đồng; 500 m²; --; --; --;0
7.8 tỷ; Đường Vạn Thành, phường 5, Đà Lạt, Lâm Đồng; 195 m²; 28 m; 5.27 m; --;0
17.2 tỷ; Đường Quốc Lộ 20, Xã Hiệp An, Huyện Đức Trọng, Lâm Đồng; 3,300 m²; 60 m; 55 m; --;0
739 triệu; Xã Tân Phúc, Huyện Ân Thi, Hưng Yên; 81 m²; 16.2 m; 5 m; --;0
4.63 tỷ; Thị trấn Trâu Quỳ, Huyện Gia Lâm, TP. Hà Nội; 109 m²; --; 5.3 m; Đ.Nam;1
790 triệu; Xã An Tịnh, Huyện Trảng Bàng, Tây Ninh; 150 m²; --; --; --;1
899 triệu; Đường 29 Krông Năng, Krong Năng, Đăk Lăk; 132 m²; 23 m; 6 m; --;0
739 triệu; Xã Tân Phúc, Huyện Ân Thi, Hưng Yên; 78 m²; --; --; --;0
389 triệu; Đường 788, Xã Phước Vinh, Huyện Châu Thành, Tây Ninh; 170 m²; 25 m; 7 m; --;1
739 triệu; Xã Tân Phúc, Huyện Ân Thi, Hưng Yên; 75 m²; 15 m; 5 m; --;0
17.2 tỷ; Đường Lương Định Của Phường 11, Đà Lạt, Lâm Đồng; 650 m²; 60 m; 55 m; --;0
739 triệu; Xã Tân Phúc, Huyện Ân Thi, Hưng Yên; 70 m²; 14 m; 5 m; --;0
500 triệu; Xã An Tịnh, Huyện Trảng Bàng, Tây Ninh; 100 m²; --; --; --;1
1.4 tỷ; Đường 1, Phường An Khánh, TP Thủ Đức, TPHCM; 125 m²; --; 5.5 m; --;0
1.39 tỷ; Đường Quốc lộ 1A, Xã Phước Thể, Huyện Tuy Phong, Bình Thuận; 125 m²; 5.5 m; 19 m; Bắc;1
380 triệu; Hương Lộ 2, Xã Trung Lập Thượng, Huyện Củ Chi, TP. Hồ Chí Minh; 250 m²; 25 m; 10 m; --;1
8.6 tỷ; Đường 55, Xã Lộc Nam, Huyện Bảo Lâm, Lâm Đồng; 1,832 m²; 312 m; 65 m; --;0
899 triệu; Đường Liên Thôn, Xã Nhị Khê, Huyện Thường Tín, TP Hà Nội; 132 m²; 22 m; 6 m; --;0
2.19 tỷ; Xã Hòa Thắng, Huyện Bắc Bình, Bình Thuận; 19,692 m²; --; --; --;1
750 triệu; Xã Đạm Bri, TP. Bảo Lộc, Lâm Đồng; 1,000 m²; --; --; --;0
2.35 tỷ; Đường Nguyễn Thị Búp, Phường Hiệp Thành, Quận 12, TPHCM; 100 m²; 20 m; 5 m; --;0
8.6 tỷ; Đường 55, Xã Lộc Nam, Huyện Bảo Lâm, Lâm Đồng; 1,832 m²; 312 m; 65 m; --;0
600 triệu; Đường Quốc Lộ 1, Phường 4, TP. Tân An, Long An; 60 m²; 15 m; 4 m; --;1
2.5 tỷ; Đường Thượng Thanh, Phường Thượng Thanh, Quận Long Biên, TP Hà Nội; 41 m²; 10.1 m; 4 m; --;0
899 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; --; --; --;0
620 triệu; Xã Tân Bình, TP. Tây Ninh, Tây Ninh; 198 m²; 33 m; 6 m; Tây;1
2.3 tỷ; Đường Trang Quan, Xã An Đồng, Huyện An Dương, TP Hải Phòng; 80 m²; 5 m; 16 m; --;0
2.2 tỷ; Xã Đức Hòa Đông, Huyện Đức Hòa, Long An; 90 m²; 18 m; 5 m; --;1
10.2 tỷ; Phường Quyết Thắng, TP Lai Châu, Tỉnh Lai Châu; 600 m²; --; --; --;0
2.65 tỷ; Đường Vĩnh Khê An Đồng, An Dương, Hải Phòng; 100 m²; 20 m; 5 m; --;0
18.49 tỷ; Đường Đinh Tiên Hoàng, Phường Dư Hàng, Quận Lê Chân, TP. Hải Phòng; 234 m²; --; --; --;0
9 tỷ; Phường Cẩm An, TP. Hội An, Quảng Nam; 200 m²; --; --; --;0
2.66 tỷ; Xã Tam Hiệp, Huyện Núi Thành, Quảng Nam; 175 m²; 25 m; 6.99 m; Đ.Bắc;1
800 triệu; Thị trấn Thạnh Phú, Huyện Thạnh Phú, Bến Tre; 120 m²; 24 m; 5 m; --;1
280 triệu; TL 623B, Xã Nghĩa Lâm, Huyện Tư Nghĩa, Quảng Ngãi; 130 m²; 20 m; 5 m; Bắc;1
2.6 tỷ; Đường 30/4, Phường Châu Phú B, TP Châu Đốc, An Giang; 105 m²; --; --; --;0
1 tỷ; Đường Đồng Văn Dẫn, Thị trấn Thạnh Phú, Huyện Thạnh Phú, Bến Tre; 213 m²; 22 m; 10 m; --;1
280 triệu; DT623B, Xã Nghĩa Lâm, Huyện Tư Nghĩa, Quảng Ngãi; 120 m²; 23 m; 5 m; Đ.Bắc;1
1.8 tỷ; Quốc lộ 1A, Xã Thanh Trạch, Huyện Bố Trạch, Quảng Bình; 200 m²; 20 m; 11 m; T.Bắc;1
490 triệu; Thị trấn Cần Đước, Huyện Cần Đước, Long An; 80 m²; 20 m; 4 m; --;0
1.06 tỷ; Xã Sông Lũy, Huyện Bắc Bình, Bình Thuận; 8,459 m²; --; --; --;0
1.44 tỷ; Xã Phan Thanh, Huyện Bắc Bình, Bình Thuận; 11,000 m²; --; --; --;0
1.23 tỷ; Xã Sông Lũy, Huyện Bắc Bình, Bình Thuận; 8,459 m²; --; --; Đông;0
820 triệu; Hùng Vương, Thị Trấn Ái Nghĩa, Huyện Đại Lộc, Quảng Nam; 200 m²; 20 m; 10 m; --;1
1.45 tỷ; Đường Quang Minh Thanh Lâm, Mê Linh, Hà Nội; 58 m²; 14 m; 4 m; --;0
575 triệu; Xóm Bố, Xã Hiệp Thạnh, Huyện Gò Dầu, Tây Ninh; 117 m²; 25 m; 5 m; --;1
1.3 tỷ; xã Hòa Phú, Huyện Tuy Phong, Bình Thuận; 77.70 m²; --; --; Đông;1
682 triệu; Xã Hồng Liêm, Huyện Hàm Thuận Bắc, Bình Thuận; 2,726.90 m²; --; --; Đông;1
1.98 tỷ; Xã Hòa Thắng, Huyện Bắc Bình, Bình Thuận; 11,656.60 m²; --; --; Đông;1
1.06 tỷ; Xã Sông LŨy , Huyện Bắc Bình, Bình Thuận; 8,459.30 m²; --; --; Đông;1
1.25 tỷ; Đường Quốc lộ 1A, Xã Mỹ Hòa, Thị xã Bình Minh, Vĩnh Long; 95 m²; 19 m; 5 m; --;0
1.18 tỷ; Xã Sông Lũy, Huyện Bắc Bình, Bình Thuận; 8,459 m²; --; --; Đông;1
1 tỷ; Quốc lộ 1A, Xã Bình An, Huyện Thăng Bình, Quảng Nam; 100 m²; 20 m; 5 m; Đ.Nam;1
1.2 tỷ; QL1A, Thị trấn Hà Lam, Huyện Thăng Bình, Quảng Nam; 120 m²; 20 m; 6 m; Đ.Nam;1
379 triệu; Xã Phước Vinh, Huyện Châu Thành, Tây Ninh; 175 m²; 25 m; 7 m; --;1
539 triệu; Đường 14, Phường Chánh Phú Hòa, Thị xã Bến Cát, Bình Dương; 70 m²; 14 m; 5 m; --;1
4.35 tỷ; Đặng Văn Trơn, Phường Hiệp Hòa, TP. Biên Hòa, Đồng Nai; 90 m²; --; 4 m; --;0
1.95 tỷ; Xã Đông Dư, Huyện Gia Lâm, TP. Hà Nội; 36 m²; --; --; --;0
1.7 tỷ; Xã Đặng Xá, Huyện Gia Lâm, TP. Hà Nội; 45 m²; --; --; --;0
2.4 tỷ; Đường Quốc Lộ 6 Bắc Phong, Cao Phong, Hòa Bình; 2,825 m²; --; --; --;0
4 tỷ; Đường Hồ Chí Minh Cao Dương, Lương Sơn, Hòa Bình; 2,954 m²; --; --; --;0
6.5 tỷ; Đường Quốc lộ 6 Lương Sơn, huyện Lương Sơn, Hòa Bình; 716 m²; --; --; --;0
1.8 tỷ; Quốc lộ 1A, Xã Thanh Trạch, Huyện Bố Trạch, Quảng Bình; 200 m²; 20 m; 11 m; T.Bắc;1
4.9 tỷ; Đường Tỉnh lộ 420 Tân Xã, Thạch Thất, Hà Nội; 210 m²; 20 m; 10 m; --;0
1.85 tỷ; Phường Tân Thành, Quận Dương Kinh, TP. Hải Phòng; 103 m²; --; --; Đ.Bắc;0
2.37 tỷ; Đường Trung Nghĩa Hợp Đức, Đồ Sơn, Hải Phòng; 113 m²; 20 m; 6 m; --;0
1.6 tỷ; Đường Mạc Đăng Doanh Hưng Đạo, Dương Kinh, Hải Phòng; 96 m²; 18 m; 5 m; --;0
4.4 tỷ; Phường Phú Đô, Quận Nam Từ Liêm, TP. Hà Nội; 60 m²; --; 4 m; --;0
1.5 tỷ; Xã Tứ Hiệp, Huyện Thanh Trì, TP. Hà Nội; 39 m²; --; 5.8 m; --;0
650 triệu; Đường Dương Gia Trang, Xã Nha Bích, Thị xã Chơn Thành, Bình Phước; 1,000 m²; 50 m; 20 m; --;1
689 triệu; Xã Mỹ Đức, Huyện An Lão, TP. Hải Phòng; 67 m²; --; --; --;0
1.7 tỷ; Phường An Bình, Quận Ninh Kiều, TP. Cần Thơ; 60 m²; 6 m; 11 m; Đ.Nam;1
4.9 tỷ; Đường Tỉnh lộ 420 Tân Xã, Thạch Thất, Hà Nội; 210 m²; 20 m; 10 m; --;0
6 tỷ; Đường Lê Lợi Phú Tân, Thủ Dầu Một, Bình Dương; 150 m²; --; --; --;0
1.4 tỷ; Đường D7, Xã Trí Bình, Huyện Châu Thành, Tây Ninh; 332 m²; 30 m; 12 m; --;1
10.3 tỷ; Kiều Đàm , Phường Tân Hưng, Quận 7, TP. Hồ Chí Minh; 93.55 m²; --; --; --;0
3.75 tỷ; Đường Phạm Văn Sáng Xuân Thới Thượng, Hóc Môn, TPHCM; 86 m²; 17.5 m; 5 m; --;0
1.8 tỷ; Nguyễn Hữu Thọ, Phường Tân Phong, Quận 7, TP. Hồ Chí Minh; 80 m²; 16 m; 4.99 m; --;0
3.4 tỷ; Đường Trần Thị Hè Hiệp Thành, quận 12, TPHCM; 60 m²; 15 m; 4 m; --;0
560 triệu; Xã Phước Đông, Huyện Cần Đước, Long An; 100 m²; 20 m; 5 m; --;1
4.3 tỷ; Đường Hoàn Sơn, Xã Hoàn Sơn, Huyện Tiên Du, Bắc Ninh; 124 m²; 10 m; 10 m; Đông;1
2.6 tỷ; Đường Tỉnh lộ 420 Bình Yên, Thạch Thất, Hà Nội; 100 m²; 25 m; 4 m; --;0
4.5 tỷ; Đường Hà Huy Tập Trâu Quỳ, Gia Lâm, Hà Nội; 65 m²; --; 46 m; --;0
1.6 tỷ; Đường Mạc Đăng Doanh Hưng Đạo, Dương Kinh, Hải Phòng; 96 m²; 18 m; 5 m; --;0
180 triệu; Đường 6 Sông Trầu, Trảng Bom, Đồng Nai; 100 m²; 20 m; 5 m; --;0
180 triệu; Đường 6 Sông Trầu, Trảng Bom, Đồng Nai; 100 m²; 20 m; 5 m; --;0
580 triệu; Đường Quốc Lộ 22, Thị trấn Bến Cầu, Huyện Bến Cầu, Tây Ninh; 250 m²; 25 m; 10 m; --;1
2.15 tỷ; Xã Phước Đồng, TP. Nha Trang, Khánh Hòa; 80 m²; 16 m; 5 m; Đ.Nam;1
450 triệu; Đường ĐT 760, Xã Bình Minh, Huyện Bù Đăng, Bình Phước; 100 m²; 100 m; 5 m; --;0
7 tỷ; Đường Quốc Lộ 21, Xã Thạch Hòa, Huyện Thạch Thất, TP Hà Nội; 200 m²; 18 m; 12 m; --;0
550 triệu; Xã Đạm Bri, TP. Bảo Lộc, Lâm Đồng; 108 m²; 18 m; 6 m; T.Nam;1
7 tỷ; Đường Quốc lộ 21 Thạch Hòa, Thạch Thất, Hà Nội; 200 m²; 18 m; 12 m; --;0
480 triệu; Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh; 64 m²; 15 m; 4 m; T.Bắc;1
820 triệu; Xã Đạm Bri, TP. Bảo Lộc, Lâm Đồng; 392 m²; 19 m; 20 m; T.Nam;1
650 triệu; Đường Tỉnh lộ 782, Thị trấn Trảng Bàng, Huyện Trảng Bàng, Tây Ninh; 950 m²; 50 m; 25 m; --;1
2 tỷ; Đường Ngũ Hiệp, Xã Ngũ Hiệp, Huyện Thanh Trì, TP Hà Nội; 41 m²; --; 3.8 m; --;0
600 triệu; Đường Quốc lộ 14, Xã Minh Hưng, Huyện Bù Đăng, Bình Phước; 900 m²; 36 m; 25 m; --;1
2 tỷ; Bà Thiên, Xã Nhuận Đức, Huyện Củ Chi, TP. Hồ Chí Minh; 1,140 m²; 38 m; 37 m; --;1
2 tỷ; Đường Dũng Sĩ Thanh Khê, Phường Thanh Khê Tây, Quận Thanh Khê, TP Đà Nẵng; 55 m²; 11 m; 5 m; --;0
1.55 tỷ; Đường Đại Lộ Bình Dương, Phường Phú Lợi, TP. Thủ Dầu Một, Bình Dương; 500 m²; 30 m; 24.99 m; --;1
2.37 tỷ; Đường Trung Nghĩa, Phường Hợp Đức, Quận Đồ Sơn, TP Hải Phòng; 113 m²; 20 m; 6 m; --;0
1.22 tỷ; Thị trấn Quang Minh, Huyện Mê Linh, TP. Hà Nội; 45.30 m²; 19.5 m; 4.8 m; --;0
560 triệu; Đường Tỉnh lộ 741, Phường Tân Xuân, TP Đồng Xoài, Bình Phước; 360 m²; 60 m; 6 m; --;0
2.2 tỷ; Đường Dũng Sĩ Thanh Khê Thanh Khê Tây, Thanh Khê, Đà Nẵng; 55 m²; 9 m; 6 m; --;0
550 triệu; Quốc Lộ 50, Xã Phong Phú, Huyện Bình Chánh, TP. Hồ Chí Minh; 104 m²; --; --; --;1
2.37 tỷ; Đường Trung Nghĩa Hợp Đức, Đồ Sơn, Hải Phòng; 113 m²; 20 m; 6 m; --;0
450 triệu; Đường ĐT 760, Xã Bom Bo, Huyện Bù Đăng, Bình Phước; 100 m²; 20 m; 5 m; T.Nam;1
1.75 tỷ; Đường Vĩnh Khê An Đồng, An Dương, Hải Phòng; 53 m²; --; 4.4 m; --;0
450 triệu; Đường 14/2, Xã Nghĩa Trung, Huyện Bù Đăng, Bình Phước; 250 m²; --; --; --;0
920 triệu; Đường Quốc Lộ 50, Xã Tân Lân, Huyện Cần Đước, Long An; 146 m²; --; --; T.Nam;1
280 triệu; TL 623B, Xã Nghĩa Lâm, Huyện Tư Nghĩa, Quảng Ngãi; 130 m²; 20 m; 5 m; Bắc;1
600 triệu; Xã Tân Lợi, Huyện Đồng Phú, Bình Phước; 1,068 m²; --; --; --;0
455 triệu; Đường 22B Thạnh Đức, Gò Dầu, Tây Ninh; 99 m²; 23 m; 5 m; --;0
2.55 tỷ; Đường Vĩnh Khê, Xã An Đồng, Huyện An Dương, TP Hải Phòng; 81 m²; --; 4.5 m; --;0
1.5 tỷ; Đường Đức Hòa Đông, Xã Đức Hòa Đông, Huyện Đức Hòa, Long An; 80 m²; 5 m; 16 m; --;1
579 triệu; Đường ĐT 781, Xã Phan, Huyện Dương Minh Châu, Tây Ninh; 140 m²; --; --; --;0
265 triệu; Xã An Khương, Huyện Hớn Quản, Bình Phước; 510 m²; 51 m; 10 m; --;1
800 triệu; An Hội, Phường 1, Quận Gò Vấp, TP. Hồ Chí Minh; 1,000 m²; 40 m; 25 m; --;1
459 triệu; Đường Đại Lộ Bình Dương, Xã Long Nguyên, Huyện Bàu Bàng, Bình Dương; 80 m²; 16 m; 5 m; Đông;1
2.28 tỷ; Phường Tây Mỗ, Quận Nam Từ Liêm, TP. Hà Nội; 43 m²; 3.5 m; 13 m; --;1
560 triệu; Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh; 80 m²; --; --; --;0
450 triệu; Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh; 50 m²; --; --; --;0
1.6 tỷ; Đường số 35, Xã Thái Mỹ, Huyện Củ Chi, TP. Hồ Chí Minh; 209 m²; 19 m; 11 m; --;1
2 tỷ; Xã Y Tý, Huyện Bát Xát, Lào Cai; 700 m²; --; --; --;0
750 triệu; Xã Đạm Bri, TP. Bảo Lộc, Lâm Đồng; 933 m²; 54 m; 17 m; T.Nam;1
1.1 tỷ; Xã Ninh Phụng, Thị xã Ninh Hòa, Khánh Hòa; 324 m²; 15 m; 20 m; Đông;0
680 triệu; Đường Trần Hưng Đạo, Phường Tiến Thành, TP. Đồng Xoài, Bình Phước; 150 m²; 25 m; 6 m; --;1
800 triệu; Phường Hòa Bình, TP. Biên Hòa, Đồng Nai; 1,000 m²; 40 m; 25 m; --;1
680 triệu; Đường 328, Xã Tân Lâm, Huyện Xuyên Mộc, Bà Rịa Vũng Tàu; 1,000 m²; 88 m; 12 m; --;1
550 triệu; Đường quốc lộ 1A, Xã Tân Hương, Huyện Châu Thành, Tiền Giang; 105 m²; 20 m; 5 m; --;1
750 triệu; Đường ĐT 749 Minh Long, Chơn Thành, Bình Phước; 250 m²; 50 m; 5 m; --;0
850 triệu; Phường Lộc Phát, TP. Bảo Lộc, Lâm Đồng; 178 m²; --; --; --;1
4.38 tỷ; Đường Trung Lực, Phường Đằng Lâm, Quận Hải An, TP. Hải Phòng; 73 m²; --; --; Nam;0
1.7 tỷ; Xã Thái Mỹ, Huyện Củ Chi, TP. Hồ Chí Minh; 1,033 m²; --; --; --;1
3.15 tỷ; Xã Diên Đồng, Huyện Diên Khánh, Khánh Hòa; 2,602 m²; 100 m; 28 m; Bắc;0
1.01 tỷ; Tỉnh lộ 8C , Xã Khánh Bình, Huyện Khánh Vĩnh, Khánh Hòa; 2,231 m²; --; --; Nam;0
520 triệu; Thị trấn Định Quán, Huyện Định Quán, Đồng Nai; 2,236 m²; 40 m; 55 m; Đ.Bắc;0
369 triệu; Đường 788, Xã Phước Vinh, Huyện Châu Thành, Tây Ninh; 155 m²; 31 m; 5 m; --;1
1.4 tỷ; Nguyễn Giao, Thị trấn Củ Chi, Huyện Củ Chi, TP. Hồ Chí Minh; 66 m²; 11 m; 6 m; --;1
1.4 tỷ; Xã Phước Thể, Huyện Tuy Phong, Bình Thuận; 105 m²; 19 m; 6 m; Đ.Bắc;1
1.96 tỷ; Phường Vĩnh Điện, Thị xã Điện Bàn, Quảng Nam; 115 m²; 5 m; 25 m; Nam;1
3.5 tỷ; Thị trấn Liên Nghĩa, Huyện Đức Trọng, Lâm Đồng; 407 m²; --; --; --;0
868 triệu; Xã Phước Thạnh, Huyện Củ Chi, TP. Hồ Chí Minh; 1,300 m²; 45 m; 29.99 m; --;1
700 triệu; Đồng Văn Dẫn, Thị trấn Thạnh Phú, Huyện Thạnh Phú, Bến Tre; 112 m²; 23 m; 5 m; --;1
579 triệu; Đường ĐT 781, Xã Phan, Huyện Dương Minh Châu, Tây Ninh; 140 m²; --; --; --;0
570 triệu; Liên Ấp 3-4-5, Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh; 75 m²; 15 m; 5 m; --;1
630 triệu; Liên Ấp 2-3-4, Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh; 68 m²; 17 m; 4 m; --;1
629 triệu; 14 D, Thị trấn Thạnh Mỹ, Huyện Nam Giang, Quảng Nam; 132 m²; 25 m; 6 m; --;1
2.29 tỷ; Thị trấn Thạnh Phú, Huyện Thạnh Phú, Bến Tre; 113 m²; 22.5 m; 5 m; --;0
1.35 tỷ; Xã Mỹ Lộc, Huyện Cần Giuộc, Long An; 100 m²; --; --; --;1
575 triệu; Đường 14, Xã Thuận Phú, Huyện Đồng Phú, Bình Phước; 1,000 m²; 11 m; 110.99 m; T.Bắc;1
280 triệu; TL 623B, Xã Nghĩa Lâm, Huyện Tư Nghĩa, Quảng Ngãi; 130 m²; 20 m; 5 m; Bắc;1
1.8 tỷ; Quốc lộ 1A, Xã Thanh Trạch, Huyện Bố Trạch, Quảng Bình; 200 m²; 20 m; 11 m; T.Bắc;1
949 triệu; Đường Âu Cơ, phường 1, Bảo Lộc, Lâm Đồng; 190 m²; 38 m; 5 m; --;0
2.1 tỷ; Đường Bạch Mai Đồng Thái, An Dương, Hải Phòng; 45 m²; 11 m; 4 m; --;0
899 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; 6 m; 22 m; --;0
900 triệu; Đường Nguyễn Trãi, Xã An Viễn, Huyện Trảng Bom, Đồng Nai; 130 m²; 26 m; 5 m; --;1
375 triệu; Đường Quốc Lộ 13, Xã Trừ Văn Thố, Huyện Bàu Bàng, Bình Dương; 805 m²; 60 m; 13 m; Đ.Bắc;1
1.5 tỷ; Quốc Lộ 22, Xã Phú Mỹ Hưng, Huyện Củ Chi, TP. Hồ Chí Minh; 568 m²; 15 m; 37 m; --;1
900 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; 22 m; 6 m; Đ.Nam;1
850 triệu; Phố Phùng Hưng, Xã An Viễn, Huyện Trảng Bom, Đồng Nai; 100 m²; 20 m; 5 m; --;1
1.68 tỷ; Thị trấn Đông Phú, Huyện Quế Sơn, Quảng Nam; 120 m²; 20 m; 6 m; Đ.Bắc;1
3.6 tỷ; Đường Thăng Long, Xã Nghi Kim, TP Vinh, Nghệ An; 120 m²; 20 m; 6.2 m; --;0
950 triệu; Quốc lộ 1A, Xã Bình An, Huyện Thăng Bình, Quảng Nam; 100 m²; 20 m; 5 m; T.Nam;1
8.5 tỷ; Đường Cổ Linh, Phường Long Biên, Quận Long Biên, TP Hà Nội; 52 m²; 12.4 m; 4.2 m; --;0
650 triệu; Xã Tân Lợi, Huyện Đồng Phú, Bình Phước; 266 m²; --; --; --;0
800 triệu; Xã Nha Bích, Thị xã Chơn Thành, Bình Phước; 1,000 m²; 100 m; 10 m; --;1
380 triệu; Xã Tân Lợi, Huyện Đồng Phú, Bình Phước; 1,000 m²; 68 m; 15 m; --;0
680 triệu; Đường Quốc Lộ 50, Xã Phước Đông, Huyện Cần Đước, Long An; 97 m²; 21 m; 4.6 m; Nam;1
1.2 tỷ; Đường 55, Xã Lộc Nam, Huyện Bảo Lâm, Lâm Đồng; 120 m²; 20 m; 6 m; --;1
520 triệu; Phường Phú Cường, TP. Thủ Dầu Một, Bình Dương; 1,300 m²; --; --; --;1
2.8 tỷ; Đường Cổ Linh, Phường Thạch Bàn, Quận Long Biên, TP Hà Nội; 43 m²; 11 m; 4 m; --;0
539 triệu; Đường 14, Phường Chánh Phú Hòa, Thị xã Bến Cát, Bình Dương; 70 m²; 14 m; 5 m; --;1
560 triệu; Đường ĐT 759, Phường Phước Bình, Thị xã Phước Long, Bình Phước; 110 m²; 18.1 m; 6 m; --;0
378 triệu; Đường ĐT 788, Xã Phước Vinh, Huyện Châu Thành, Tây Ninh; 150 m²; 31 m; 5 m; --;1
1 tỷ; Phường Uyên Hưng, Thị xã Tân Uyên, Bình Dương; 65 m²; --; --; --;1
1.7 tỷ; Đường 30/4, Xã Nghĩa Phú, TP Quãng Ngãi, Quãng Ngãi; 100 m²; 20 m; 5 m; --;0
